Counter,Date/time,Latitude (deg),Longitude (deg),Altitude (km),B_x,B_y,B_z
95,2022-04-30 16:17:23.010990,50.732057068459014,-145.33405317373328,420.02536140562046,35.633384704589844,8.518987655639648,27.791481018066406
96,2022-04-30 16:17:35.516231,50.55351816048216,-144.14579965489682,420.03183856830117,35.498199462890625,8.491803169250488,27.949108123779297
97,2022-04-30 16:17:48.021815,50.36187853971048,-142.96719334999835,420.03589462331945,35.09040832519531,8.496789932250977,27.897586822509766
98,2022-04-30 16:18:00.468934,50.158321264368034,-141.8042305194351,420.0375617724145,34.919189453125,8.48947811126709,28.042572021484375
99,2022-04-30 16:18:12.979461,49.941046100902895,-140.64601622276055,420.0368924329984,34.7030029296875,8.452787399291992,28.14444351196289
100,2022-04-30 16:18:25.484676,49.71136731387342,-139.4994370911397,420.0339143816644,34.551273345947266,8.614982604980469,28.246299743652344
101,2022-04-30 16:18:37.991182,49.46938602512323,-138.3642932186638,420.0286704978831,34.4425163269043,8.494302749633789,28.170907974243164
102,2022-04-30 16:18:50.437972,49.21658940840449,-137.24641096139027,420.02124793560444,34.3587532043457,8.453774452209473,28.649946212768555
103,2022-04-30 16:19:02.959052,48.950462477624136,-136.134109482378,420.0116116856461,34.056434631347656,8.446480751037598,28.62830352783203
104,2022-04-30 16:19:15.456244,48.67325361279476,-135.03648335741985,419.9998756983082,33.78976821899414,8.558561325073242,28.70551300048828
105,2022-04-30 16:19:27.993159,48.38376677249757,-133.94822758896416,419.9860306298588,33.5821647644043,8.632848739624023,28.821025848388672
106,2022-04-30 16:19:40.512896,48.08352640840107,-132.87454296620984,419.9701907934056,33.394046783447266,8.525388717651367,29.012598037719727
107,2022-04-30 16:19:52.945760,47.77458313153268,-131.82143278751613,419.95252827585193,33.14030838012695,8.318896293640137,29.03083038330078
108,2022-04-30 16:20:05.396233,47.45467074544307,-130.78008777896352,419.9329718187919,32.89739227294922,8.262069702148438,28.460987091064453
109,2022-04-30 16:20:17.935934,47.12205828132845,-129.74481305506112,419.911449078864,32.68086624145508,8.225783348083496,28.619190216064453
110,2022-04-30 16:20:30.453234,46.779869330472785,-128.72502489151563,419.8882038723668,32.48674392700195,8.377163887023926,28.463035583496094
111,2022-04-30 16:20:42.967556,46.42784984898074,-127.71916230512358,419.86327467439804,32.34306716918945,8.26881217956543,28.619773864746094
112,2022-04-30 16:20:55.476224,46.0663297181307,-126.72745942778334,419.8367398618087,32.15864944458008,8.177669525146484,28.939834594726562
113,2022-04-30 16:21:08.006237,45.69475478996397,-125.74780991686204,419.808612843974,31.887435913085938,8.141788482666016,28.977758407592773
114,2022-04-30 16:21:20.438640,45.31697826242997,-124.78937288979817,419.7792496185433,31.569982528686523,8.084592819213867,28.82909393310547
115,2022-04-30 16:21:32.970169,44.92725860221548,-123.83694124236308,419.7482627285442,31.157203674316406,7.998955249786377,28.436317443847656
116,2022-04-30 16:21:45.396785,44.53218197729522,-122.90595313269883,419.7162363168651,30.979108810424805,8.006003379821777,28.750974655151367
117,2022-04-30 16:21:57.819886,44.12886744239656,-121.98855530289465,419.6830061244803,30.811159133911133,7.981472969055176,28.607254028320312
118,2022-04-30 16:22:10.239883,43.717534358920354,-121.08460786643452,419.64865359762763,30.590930938720703,7.9630537033081055,28.91423988342285
119,2022-04-30 16:22:22.735577,43.295727400211256,-120.18837637853434,419.6130350931769,30.295642852783203,8.009233474731445,29.034160614013672
120,2022-04-30 16:22:35.216217,42.866673671506504,-119.30633281818518,419.5764876401581,30.125282287597656,7.790663242340088,29.300270080566406
